Total Revenue,Source,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Company,Year
,Apple_table_10.csv,,,,,Unknown,
8.0,Apple_table_13.csv,,,,,Unknown,
,Apple_table_17.csv,,,,,Unknown,
,Apple_table_19.csv,,,,,Unknown,
,Apple_table_20.csv,,,,,Unknown,
,Apple_table_21.csv,,,,,Unknown,
,Apple_table_22.csv,,,,,Unknown,
,Apple_table_23.csv,,,,,Unknown,
,Apple_table_49.csv,,,,,Unknown,
,Apple_table_51.csv,,,,,Unknown,
,Apple_table_9.csv,,,,,Unknown,
,Microsoft_table_108.csv,,,,,Unknown,
,Microsoft_table_25.csv,,,,,Unknown,
,Microsoft_table_26.csv,,,,,Unknown,
,Microsoft_table_46.csv,,,,,Unknown,
,Microsoft_table_50.csv,,,,,Unknown,
,Microsoft_table_70.csv,,,,,Unknown,
,Microsoft_table_75.csv,,,,,Unknown,
5.0,Tesla_table_10.csv,,,,,Unknown,
,Tesla_table_15.csv,,,,,Unknown,
,Tesla_table_16.csv,,,,,Unknown,
,Tesla_table_17.csv,,,,,Unknown,
,Tesla_table_18.csv,4.0,,,,Unknown,
,Tesla_table_19.csv,43.0,,,,Unknown,
,Tesla_table_20.csv,,,,,Unknown,
,Tesla_table_21.csv,,,,,Unknown,
,Tesla_table_23.csv,,,,,Unknown,
,Tesla_table_24.csv,,,,,Unknown,
,Tesla_table_54.csv,,,,,Unknown,
,Tesla_table_60.csv,,,,,Unknown,
,Tesla_table_61.csv,,,,,Unknown,
,Tesla_table_7.csv,,,,,Unknown,
,Tesla_table_8.csv,,,,,Unknown,
4.0,Tesla_table_9.csv,,,,,Unknown,
